"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"PAE",8110,186,1435,75340,-122.281998,47.9063,"Washington",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,63.1928249766898
"PAH",4288,166,779,62518,-88.7738037109375,37.0607986450195,"Kentucky",724350,37.056,-88.774,25.0277617675312,125.998078770413,1.93083573487032,14106.4447646494,76.7529454340618,0.53386919286559
"PBG",4863,201,810,92577,-73.4681015014648,44.6509017944336,"NewYork",726225,44.65,-73.468,19.6634279475983,71,1.86177437020811,13861.3504366812,75.2097024678761,0.100595913737043
"PBI",116406,3176,25205,1634297,-80.0955963134766,26.6832008361816,"Florida",722030,26.683,-80.1,27.8511893434824,6,3.22987630827783,15050.3948620362,78.9895828640069,0.438089464480887
"PDX",280131,4100,43246,2317738,-122.5979996,45.58869934,"Oregon",720202,45.417,-123.817,17.1632928475034,11,1.8246963562753,15043.8407557355,77.2386171110002,96.8995170153347
"PGD",27838,1034,7891,585416,-81.990501,26.9202,"Florida",722034,26.917,-81.991,27.5500461680517,8,2.89898148148148,15020.6534195933,86.4577328070157,0.359246801952035
"PGV",550,70,104,7417,-77.38529968,35.6352005,"NorthCarolina",723065,35.633,-77.385,25.4924691921497,8,1.89913281606573,14684.5828388864,79.2297280485169,0.246178755363622
"PHF",6022,156,923,63668,-76.492996,37.131901,"Virginia",723086,37.132,-76.493,25.3050704225352,16,2.75541941564562,13880.0507042254,77.2308267702431,0.0110140074391978
"PHL",462634,12300,79966,5712375,-75.241096496582,39.871898651123,"Pennsylvania",724080,39.873,-75.25,24.8537342386033,9,3.02611650485437,15026.7934044617,68.6113602190529,0.769623393628734
"PHX",788476,15543,127045,8136464,-112.005905,33.435302,"Arizona",722780,33.428,-112.017,36.0052106430155,337.039911308204,3.14669652855543,16039.1807095344,28.4223844319097,1.31121937823614
